#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
191,Greenland,"11,971",0,21,0,"2,761",0,"9,189",4,"210,110",369,"164,926","2,894,708","56,975",North America,5,"2,713",0,0,0,"161,281"
177,Grenada,"18,822",0,234,0,"18,514",0,74,4,"165,671","2,060","174,451","1,535,512","113,611",North America,6,486,1,0,0,651
117,Guadeloupe,"186,380",0,971,0,"2,250",0,"183,159",19,"465,639","2,426","938,039","2,343,533","400,267",North America,2,412,0,0,0,"457,592"
66,Guatemala,"1,051,398",0,"19,082",0,"985,475",0,"46,841",5,"56,505","1,026","5,374,814","288,859","18,607,025",North America,18,975,3,0,0,"2,517"
161,Guinea,"37,408",0,445,0,"36,419",0,544,8,"2,696",32,"660,107","47,572","13,876,030",Africa,371,"31,182",21,0,0,39
200,Guinea-Bissau,"8,440",0,174,0,"8,151",0,115,6,"4,087",84,"145,231","70,328","2,065,048",Africa,245,"11,868",14,0,0,56
140,Guyana,"70,009",0,"1,271",0,"68,225",0,513,0,"88,120","1,600","677,998","853,398","794,469",South America,11,625,1,0,0,646
165,Haiti,"32,464",0,838,0,"30,070",0,"1,556",0,"2,776",72,"132,422","11,325","11,692,538",North America,360,"13,953",88,0,0,133
92,Honduras,"444,152",0,"10,940",0,"132,498",0,"300,714",105,"43,403","1,069","1,458,053","142,482","10,233,279",North America,23,935,7,0,0,"29,386"
54,Hong Kong,"1,371,938",0,"9,527",0,"1,233,912",0,"128,499",7,"179,953","1,250","54,352,132","7,129,205","7,623,870",Asia,6,800,0,0,0,"16,855"
45,Hungary,"1,987,321",0,"46,886",0,"1,898,374",0,"42,061",19,"206,814","4,879","11,394,556","1,185,796","9,609,201",Europe,5,205,1,0,0,"4,377"
113,Iceland,"202,502",0,179,0,N/A,N/A,N/A,3,"585,498",518,"1,986,628","5,743,974","345,863",Europe,2,"1,932",0,0,0,"366,151"
2,India,"44,107,588",0,"526,600",0,"43,445,624",0,"135,364",698,"31,320",374,"876,760,536","622,562","1,408,310,338",Asia,32,"2,674",2,0,0,96
20,Indonesia,"6,229,315",0,"157,060",0,"6,021,549",0,"50,706","2,771","22,283",562,"103,952,029","371,844","279,557,933",Asia,45,"1,780",3,0,0,181
17,Iran,"7,426,030",0,"142,290",0,"7,091,232",0,"192,508","1,398","86,113","1,650","53,322,294","618,330","86,235,950",Asia,12,606,2,0,0,"2,232"
42,Iraq,"2,449,440",0,"25,322",0,"2,401,993",0,"22,125",28,"58,174",601,"19,096,631","453,540","42,105,689",Asia,17,"1,663",2,0,0,525
51,Ireland,"1,647,605",0,"7,662",0,"1,604,869",0,"35,074",30,"326,074","1,516","12,546,832","2,483,114","5,052,861",Europe,3,659,0,0,0,"6,941"
160,Isle of Man,"37,794",0,114,0,"26,794",0,"10,886",0,"439,608","1,326","150,753","1,753,513","85,972",Europe,2,754,1,0,0,"126,623"
29,Israel,"4,594,568",0,"11,399",0,"4,544,809",0,"38,360",310,"492,662","1,222","41,373,364","4,436,346","9,326,000",Asia,2,818,0,0,0,"4,113"
7,Italy,"21,213,559",0,"172,729",0,"19,865,536",0,"1,175,294",392,"351,938","2,866","238,136,571","3,950,741","60,276,425",Europe,3,349,0,0,0,"19,498"
135,Ivory Coast,"85,601",0,811,0,"84,587",0,203,0,"3,086",29,"1,584,736","57,126","27,741,134",Africa,324,"34,206",18,0,0,7
123,Jamaica,"146,695",0,"3,199",0,"94,156",0,"49,340",0,"49,093","1,071","1,149,550","384,706","2,988,127",North America,20,934,3,0,0,"16,512"
11,Japan,"13,598,290","+253,392","33,159",+183,"11,586,379","+188,460","1,978,752",556,"108,207",264,"64,104,711","510,107","125,669,125",Asia,9,"3,790",2,"2,016",1,"15,746"
48,Jordan,"1,715,296",0,"14,083",0,"1,696,674",0,"4,539",56,"164,703","1,352","17,018,240","1,634,098","10,414,456",Asia,6,740,1,0,0,436
55,Kazakhstan,"1,362,647","+2,579","13,666",0,"1,320,732","+2,555","28,249",24,"70,804",710,"11,575,012","601,446","19,245,293",Asia,14,"1,408",2,134,0,"1,468"
98,Kenya,"337,768",0,"5,672",0,"331,669",0,427,1,"6,006",101,"3,827,700","68,057","56,242,531",Africa,167,"9,916",15,0,0,8
216,Kiribati,"3,430",0,13,0,"2,703",0,714,3,"27,824",105,0,0,"123,273",Australia/Oceania,36,"9,483",0,0,0,"5,792"
81,Kuwait,"653,730",0,"2,559",0,"647,555",0,"3,616",5,"148,496",581,"8,282,574","1,881,401","4,402,343",Asia,7,"1,720",1,0,0,821
114,Kyrgyzstan,"201,329",0,"2,991",0,"196,406",0,"1,932",131,"29,832",443,"1,907,195","282,599","6,748,776",Asia,34,"2,256",4,0,0,286
111,Laos,"211,643",+106,757,0,N/A,N/A,N/A,0,"28,235",101,"1,233,207","164,519","7,495,833",Asia,35,"9,902",6,14,0,"27,112"
